X,Y,Z
102.135,117.5,0.2
101.988,118.619,0.2
101.988,118.619,0.2
101.609,119.539,0.2
101.609,119.539,0.2
101.478,119.767,0.2
101.478,119.767,0.2
100.95,120.453,0.2
100.95,120.453,0.2
100.769,120.635,0.2
100.769,120.635,0.2
100.085,121.162,0.2
100.085,121.162,0.2
99.855,121.296,0.2
99.855,121.296,0.2
99.39,121.486,0.2
99.39,121.486,0.2
106.001,121.487,0.2
106.001,121.487,0.2
97.815,121.658,0.2
97.815,121.658,0.2
97.206,121.579,0.2
97.206,121.579,0.2
94.75,121.086,0.2
94.75,121.086,0.2
94.36,120.696,0.2
94.36,120.696,0.2
93.834,120.009,0.2
93.834,120.009,0.2
93.651,119.691,0.2
93.651,119.691,0.2
93.32,118.894,0.2
93.32,118.894,0.2
93.191,118.609,0.2
93.191,118.609,0.2
93.099,117.687,0.2
93.099,117.687,0.2
93.099,117.313,0.2
93.099,117.313,0.2
93.184,116.451,0.2
93.184,116.451,0.2
93.651,115.309,0.2
93.651,115.309,0.2
93.836,114.989,0.2
93.836,114.989,0.2
94.362,114.303,0.2
94.362,114.303,0.2
94.617,114.049,0.2
94.617,114.049,0.2
94.793,113.914,0.2
94.793,113.914,0.2
92.654,113.914,0.2
92.654,113.914,0.2
92.654,115.975,0.2
92.654,115.975,0.2
92.697,116.419,0.2
92.697,116.419,0.2
92.665,117.5,0.2
92.665,117.5,0.2
92.7,118.651,0.2
92.7,118.651,0.2
92.656,119.025,0.2
92.656,119.025,0.2
92.654,121.086,0.2
92.654,121.086,0.2
94.75,121.086,0.2
94.75,121.086,0.2
95.775,121.296,0.2
95.775,121.296,0.2
95.546,121.164,0.2
95.546,121.164,0.2
94.862,120.637,0.2
94.862,120.637,0.2
94.678,120.452,0.2
94.678,120.452,0.2
94.152,119.766,0.2
94.152,119.766,0.2
94.021,119.539,0.2
94.021,119.539,0.2
93.643,118.621,0.2
93.643,118.621,0.2
93.511,117.632,0.2
93.511,117.632,0.2
93.511,117.368,0.2
93.511,117.368,0.2
93.625,116.509,0.2
93.625,116.509,0.2
93.691,116.259,0.2
93.691,116.259,0.2
94.021,115.461,0.2
94.021,115.461,0.2
94.153,115.233,0.2
94.153,115.233,0.2
94.68,114.547,0.2
94.68,114.547,0.2
94.861,114.365,0.2
94.861,114.365,0.2
95.545,113.838,0.2
95.545,113.838,0.2
95.776,113.704,0.2
95.776,113.704,0.2
96.242,113.514,0.2
96.242,113.514,0.2
